Price,Date,Close,High,Low,Open,Volume
Ticker,,META,META,META,META,META
274,2021-02-03,265.399169921875,267.93722639438874,262.6023537335994,264.3740027465401,14223400
275,2021-02-04,265.2398986816406,266.9020781577991,262.76158887006744,265.7574788266206,16060000
276,2021-02-05,266.8423767089844,267.9073647395341,264.4237828774701,265.54845664984947,12454400
277,2021-02-08,265.3294982910156,268.5941110689522,263.7569232079565,267.4893324986351,13755200
278,2021-02-09,268.1860046386719,272.1075242718403,264.5033494300479,265.19011502503133,14613400
279,2021-02-10,270.59466552734375,272.51560469662627,266.464139060546,271.17196178380914,14687200
280,2021-02-11,269.12164306640625,272.29665116199936,267.2305314702786,270.6146067216081,12828600
281,2021-02-12,269.2311096191406,269.9079125124252,267.0812383336282,269.25100486620556,9097600
282,2021-02-16,272.6848449707031,275.3025128560429,268.7832197961873,269.52970164754623,15417200
283,2021-02-17,272.2867431640625,272.68486076629716,268.3154388301822,269.96765573516075,12763200
284,2021-02-18,268.1263122558594,270.67430092450223,264.78205814425263,268.30546059011846,15249100
285,2021-02-19,260.3330383300781,269.00217183862065,258.92964889423274,268.594091474346,25622600
286,2021-02-22,259.10882568359375,261.8359934937076,256.3219721270092,256.7400153477097,17434900
287,2021-02-23,264.6128845214844,266.2053852874172,253.7640357008201,258.28273270429423,21924600
288,2021-02-24,263.07012939453125,265.1304263929796,257.1779168994554,261.0994065645692,15736100
289,2021-02-25,253.49526977539062,265.6878058976632,252.8483097667801,261.069557227545,19053100
290,2021-02-26,256.4115295410156,264.30432353909475,255.26693013278157,255.26693013278157,26619500
291,2021-03-01,263.6673583984375,265.3991866510312,256.6902313300045,259.5965474990258,22157300
292,2021-03-02,257.7850646972656,265.4588895855385,257.43670042684397,264.5332593844024,15191700
293,2021-03-03,254.21189880371094,259.7657101716926,253.9033554151799,259.0690120320257,15513500
294,2021-03-04,256.43145751953125,265.2399189753767,252.31086316271254,255.2669324786491,31626500
295,2021-03-05,263.040283203125,264.20480819481656,254.41095527719872,259.4472319937252,26820100
296,2021-03-08,254.1123809814453,264.3341951911239,253.85360606543753,264.3043371310927,18391800
297,2021-03-09,264.4934387207031,267.270359700702,258.5912628644361,259.95483151383627,22039700
298,2021-03-10,263.6573791503906,267.70829454847,261.63690285684623,267.3798559044421,14210300
299,2021-03-11,272.59527587890625,276.59640774204075,266.56370483735765,266.8523226223486,21834000
300,2021-03-12,267.14093017578125,268.4746405940993,262.7814718852559,267.87747949218095,20600200
301,2021-03-15,272.46588134765625,274.6655060767107,267.2405082807149,267.8177742262205,16844800
302,2021-03-16,277.9699401855469,280.8165401696116,273.5109442268555,274.7849387329923,22437700
303,2021-03-17,282.677734375,284.8873216916441,274.1180704287921,274.4166509954649,21315000
304,2021-03-18,277.31298828125,283.8521756907627,276.9745868667159,278.55712452928117,18728300
305,2021-03-19,288.7491149902344,291.42649896009794,279.8809374369784,279.90083268463866,38930500
306,2021-03-22,292.1630554199219,298.304095845231,285.4048978091573,289.087553801626,28273100
307,2021-03-23,289.2666931152344,296.60211643700694,288.4505323506131,291.77486115165414,23000900
308,2021-03-24,280.8165283203125,290.35157627843716,279.8411144527002,289.6349525005722,18675000
